r,g,b
253,223,135
246,207,70
248,200,76
253,186,46
245,208,127
232,180,70
225,174,93
217,161,78
250,226,166
246,218,155
244,209,141
233,186,104
235,183,99
193,147,69
168,133,79
159,124,70
248,237,209
243,235,216
252,231,212
242,219,203
245,215,189
253,218,188
242,202,176
239,188,157
234,172,135
218,147,103
247,240,222
250,240,213
248,243,221
247,240,212
247,232,191
245,240,211
248,241,199
251,239,189
251,232,163
245,212,135
248,225,171
248,239,198
249,235,200
248,231,188
247,224,170
250,228,181
248,232,196
247,220,167
249,214,150
253,226,147
225,191,145
234,206,166
240,217,183
232,209,175
238,224,198
254,170,124
255,181,120
254,193,139
255,207,161
253,223,199
254,209,56
251,211,100
252,226,149
248,237,205
246,239,213
254,195,57
247,205,97
248,219,151
249,227,170
250,233,187
208,150,66
225,172,78
226,176,89
239,202,134
248,219,153
220,155,63
230,169,80
242,195,115
243,203,134
245,213,154
211,139,54
186,123,56
199,142,73
202,148,86
214,164,103
208,129,86
200,125,70
217,126,53
252,154,83
253,172,106
38,89,116
8,110,124
38,92,94
39,72,77
133,194,212
86,175,193
0,151,170
9,103,128
175,216,222
162,214,225
162,206,209
64,139,145
194,231,237
183,222,229
170,221,225
48,113,117
199,233,234
182,220,221
126,212,201
130,214,201
220,236,233
202,230,233
133,203,195
4,80,93
30,134,163
65,151,176
103,178,199
142,204,217
0,119,139
32,142,157
102,197,215
158,206,218
0,123,125
76,144,145
148,199,203
184,222,225
0,159,139
63,185,170
149,210,203
201,233,232
123,184,189
176,221,216
194,229,225
224,238,239
185,154,196
92,74,100
206,200,226
84,67,77
228,231,236
94,89,121
99,91,128
137,147,196
79,80,126
72,76,121
171,179,216
73,74,118
74,77,112
121,91,143
143,111,161
167,138,184
196,168,206
210,191,219
214,198,224
220,207,227
218,214,231
127,122,154
166,165,205
202,198,221
228,225,236
88,95,149
121,128,182
221,223,236
157,166,209
72,75,116
195,201,227
209,214,233
185,188,219
203,107,109
206,125,144
182,91,108
126,57,78
241,228,220
232,217,210
226,206,199
184,141,135
155,107,97
247,233,233
252,221,216
228,178,171
214,144,136
194,115,100
244,235,236
254,195,199
245,179,183
235,145,147
226,122,123
245,237,234
243,220,228
253,211,212
251,202,206
236,180,189
243,238,235
243,220,226
243,217,228
218,160,172
223,161,176
236,229,236
218,154,189
193,115,157
136,73,102
124,58,86
193,140,136
203,158,155
208,174,172
233,209,197
239,221,211
243,178,172
245,190,185
252,211,205
251,222,216
251,231,224
193,80,100
208,99,118
232,129,150
237,148,168
248,195,201
227,166,182
246,205,221
241,209,224
227,204,212
234,215,221
194,109,128
216,143,162
235,185,197
248,205,215
241,201,210
169,84,126
177,90,133
213,145,182
228,177,210
230,218,232
221,200,181
158,123,103
124,87,68
188,173,154
112,85,68
97,74,58
202,193,178
149,133,120
84,73,67
179,171,169
134,125,120
80,68,56
177,172,166
172,164,161
98,87,81
140,135,131
123,114,107
106,98,87
178,143,121
194,163,142
209,182,163
236,222,209
230,213,197
120,70,59
136,94,80
143,106,87
249,238,220
246,238,219
118,101,91
148,132,117
192,183,166
222,214,201
222,216,204
182,170,158
195,190,186
202,197,191
203,198,194
190,182,179
102,95,89
136,126,117
151,141,139
196,189,183
201,196,192
93,88,85
121,112,107
140,133,127
160,153,147
152,143,136
183,188,192
143,147,156
101,102,107
86,91,97
105,112,120
100,105,111
58,59,64
160,165,168
74,73,79
45,46,48
158,156,161
112,110,113
142,137,141
80,78,83
129,124,130
74,63,61
70,75,81
121,125,136
164,168,177
223,225,224
231,231,229
89,93,102
139,144,148
182,186,189
210,214,217
215,219,220
60,61,66
101,105,114
151,156,162
180,185,188
189,191,188
101,95,99
166,163,170
209,209,211
198,196,201
188,187,192
96,93,100
151,146,152
214,212,213
229,228,226
220,218,219
98,93,99
131,126,132
172,167,171
205,201,202
183,180,187
181,185,91
146,154,68
123,145,60
78,119,59
131,131,79
150,137,84
174,160,123
160,145,104
125,132,114
45,72,57
103,104,88
236,235,178
232,231,185
225,226,133
196,198,114
184,189,107
234,237,190
237,237,201
239,240,196
240,236,189
132,124,77
233,226,207
225,223,211
225,217,194
202,199,182
185,172,137
214,217,198
214,212,199
229,235,235
225,228,219
139,139,111
210,217,201
180,187,171
172,183,166
96,108,88
97,110,92
201,204,183
194,200,186
163,165,151
132,133,117
112,114,100
198,205,67
212,214,91
215,220,104
221,225,128
230,231,151
118,165,63
164,201,69
151,177,78
213,214,148
224,224,170
201,190,158
215,206,177
220,210,183
236,233,218
232,232,220
125,127,113
168,169,151
173,175,151
197,200,183
211,213,199
123,135,113
152,165,145
162,171,154
214,220,208
208,214,202
108,112,89
114,126,104
136,148,126
193,204,187
222,230,232
229,229,229
229,228,223
230,224,212
230,232,227
231,228,223
232,226,212
236,237,231
235,231,220
231,222,205
245,246,241
238,231,221
232,223,206
235,236,230
236,232,221
225,221,212
235,235,227
229,227,215
214,210,199
197,58,65
187,47,48
187,48,43
165,47,47
179,63,66
164,49,46
161,53,51
158,49,52
151,47,46
155,53,51
153,49,48
125,55,57
158,56,78
87,47,47
135,152,195
121,136,179
60,69,108
171,191,224
133,163,201
60,73,118
98,129,158
29,57,105
78,159,214
0,98,159
214,234,241
169,214,235
21,71,122
140,168,192
64,91,120
43,54,72
80,95,154
161,176,207
182,191,224
223,228,234
194,206,230
57,72,115
87,113,164
159,183,217
194,211,231
177,197,222
47,71,115
111,145,190
211,218,234
210,219,228
94,138,185
30,148,210
124,192,229
218,236,240
205,215,216
201,227,240
5,119,189
182,211,229
185,212,231
232,241,238
233,239,237
54,74,98
76,105,135
117,148,176
142,179,206
165,197,220
